Province or territory,1990 greenhouse gas emissions (megatonnes of carbon dioxide equivalent),2005 greenhouse gas emissions (megatonnes of carbon dioxide equivalent),2020 greenhouse gas emissions (megatonnes of carbon dioxide equivalent)
Newfoundland and Labrador (NL),9.6,10.5,9.5
Prince Edward Island (PE),1.8,1.9,1.6
Nova Scotia (NS),19.5,23,14.6
New Brunswick (NB),16.2,19.8,12.4
Quebec (QC),84.5,86.3,76.2
Ontario (ON),180,204.4,149.6
Manitoba (MB),18.3,20.5,21.7
Saskatchewan (SK),45.1,71.3,65.9
Alberta (AB),165.6,237.1,256.5
British Columbia (BC),51.7,63.6,61.7
Yukon (YT),0.6,0.6,0.6
Northwest Territories (NT),1.8[A],1.7,1.4
Nunavut (NU)[A],n/a,0.6,0.6
