"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-10","Newfoundland and Labrador","2016A000210","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411314","3.1.1.1","58.3","","","","1"
"2022-10","Newfoundland and Labrador","2016A000210","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411320","3.1.2.1","30.0","","","","1"
"2022-10","Newfoundland and Labrador","2016A000210","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411326","3.1.3.1","11.7","","","","1"
"2022-10","Prince Edward Island","2016A000211","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411368","4.1.1.1","58.1","","","","1"
"2022-10","Prince Edward Island","2016A000211","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411374","4.1.2.1","31.1","","","","1"
"2022-10","Prince Edward Island","2016A000211","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411380","4.1.3.1","10.8","","","","1"
"2022-10","Nova Scotia","2016A000212","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411422","5.1.1.1","51.3","","","","1"
"2022-10","Nova Scotia","2016A000212","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411428","5.1.2.1","35.7","","","","1"
"2022-10","Nova Scotia","2016A000212","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411434","5.1.3.1","13.0","","","","1"
"2022-10","New Brunswick","2016A000213","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411476","6.1.1.1","55.3","","","","1"
"2022-10","New Brunswick","2016A000213","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411482","6.1.2.1","27.6","","","","1"
"2022-10","New Brunswick","2016A000213","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411488","6.1.3.1","17.1","","","","1"
"2022-10","Quebec","2016A000224","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411530","7.1.1.1","46.2","","","","1"
"2022-10","Quebec","2016A000224","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411536","7.1.2.1","41.8","","","","1"
"2022-10","Quebec","2016A000224","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411542","7.1.3.1","12.0","","","","1"
"2022-10","Ontario","2016A000235","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411584","8.1.1.1","42.9","","","","1"
"2022-10","Ontario","2016A000235","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411590","8.1.2.1","41.1","","","","1"
"2022-10","Ontario","2016A000235","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411596","8.1.3.1","16.0","","","","1"
"2022-10","Manitoba","2016A000246","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411692","10.1.1.1","50.6","","","","1"
"2022-10","Manitoba","2016A000246","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411698","10.1.2.1","36.1","","","","1"
"2022-10","Manitoba","2016A000246","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411704","10.1.3.1","13.3","","","","1"
"2022-10","Saskatchewan","2016A000247","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411746","11.1.1.1","51.4","","","","1"
"2022-10","Saskatchewan","2016A000247","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411752","11.1.2.1","37.0","","","","1"
"2022-10","Saskatchewan","2016A000247","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411758","11.1.3.1","11.7","","","","1"
"2022-10","Alberta","2016A000248","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411800","12.1.1.1","45.2","","","","1"
"2022-10","Alberta","2016A000248","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411806","12.1.2.1","41.3","","","","1"
"2022-10","Alberta","2016A000248","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411812","12.1.3.1","13.4","","","","1"
"2022-10","British Columbia","2016A000259","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411854","13.1.1.1","46.2","","","","1"
"2022-10","British Columbia","2016A000259","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411860","13.1.2.1","42.1","","","","1"
"2022-10","British Columbia","2016A000259","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411866","13.1.3.1","11.7","","","","1"


